18:07:00 ~ 18:07:02	那這樣我今天準備一份簡報
18:13:13 ~ 18:13:16	紅色的這個用晶片的
18:13:16 ~ 18:13:17	他的訓號穩定
18:13:17 ~ 18:13:18	會比一定有原本的ADC
18:13:18 ~ 18:13:19	叫做更變很多
18:13:20 ~ 18:13:22	那這樣子的話也可以進步了
18:13:22 ~ 18:13:23	去讓感測的一個誤差的分析
18:13:24 ~ 18:13:25	預先的部
18:13:25 ~ 18:13:26	而理論的須現
18:13:26 ~ 18:13:27	一個人指的這個
18:13:27 ~ 18:13:28	須現的舉線
18:13:28 ~ 18:13:30	跟實際的指揮比較接近一點
18:13:31 ~ 18:13:31	現場的場域
18:13:31 ~ 18:13:32	其實會有一些
18:13:32 ~ 18:13:33	干擾的部分
18:13:33 ~ 18:13:35	也是解除他們排除
18:13:35 ~ 18:13:36	那在整體
18:13:36 ~ 18:13:38	在去年的成果這邊的話
18:13:39 ~ 18:13:40	我們是
18:13:40 ~ 18:13:40	有兩
18:13:41 ~ 18:13:44	是有完整的兩側
18:13:44 ~ 18:13:45	是七天的
18:13:45 ~ 18:13:46	一個養一個變化
18:13:46 ~ 18:13:46	一個經濟
18:13:47 ~ 18:13:47	那其實
18:13:48 ~ 18:13:50	就可以看到說
18:13:50 ~ 18:13:51	中間下方這張圖
18:13:51 ~ 18:13:52	就可以看到說他
18:13:53 ~ 18:13:53	隨著
18:13:53 ~ 18:13:54	在品的
18:13:55 ~ 18:13:55	在品的
18:13:55 ~ 18:13:56	就是
18:13:57 ~ 18:13:58	所以我們在品的那個急程
18:13:58 ~ 18:13:59	他的養醫的
18:14:00 ~ 18:14:01	刀酸的
18:14:01 ~ 18:14:02	例子會有突進的下降
18:14:02 ~ 18:14:04	那中間後來
18:14:04 ~ 18:14:05	後面呢
18:14:05 ~ 18:14:07	就是有在增加了
18:14:07 ~ 18:14:08	在補養醫
18:14:08 ~ 18:14:09	調整養醫的平晃
18:14:09 ~ 18:14:10	以及
18:14:10 ~ 18:14:12	加水去吸塞這個情況
18:14:12 ~ 18:14:13	其實是有
18:14:13 ~ 18:14:14	我們稱系的結果
18:14:14 ~ 18:14:15	都有去
18:14:16 ~ 18:14:17	都有可以呈現出
18:14:17 ~ 18:14:18	這個分析的結果
18:14:18 ~ 18:14:20	那目前今年也是在
18:14:20 ~ 18:14:20	直覺
18:14:20 ~ 18:14:21	可以進行
18:14:22 ~ 18:14:22	那個
18:14:22 ~ 18:14:23	連新的
18:14:23 ~ 18:14:24	的場域的一個
18:14:25 ~ 18:14:25	測試
18:14:27 ~ 18:14:27	那
18:14:27 ~ 18:14:28	這是我之前
18:14:28 ~ 18:14:29	那個對於
18:14:29 ~ 18:14:30	IOT就是
18:14:30 ~ 18:14:31	被提提
18:14:31 ~ 18:14:31	一提
18:14:31 ~ 18:14:32	特別怎麼一個
18:14:33 ~ 18:14:34	一個成果
18:14:34 ~ 18:14:35	那目前我現在在做了
18:14:35 ~ 18:14:36	方式
18:14:36 ~ 18:14:37	在做了研究
18:14:37 ~ 18:14:38	是以
18:14:38 ~ 18:14:39	IOT方式
18:14:39 ~ 18:14:40	去偵測光譜影響
18:14:40 ~ 18:14:41	氣功導渡
18:14:41 ~ 18:14:42	以及水分
18:14:42 ~ 18:14:42	養娃娃
18:14:42 ~ 18:14:43	但交換的一個
18:14:44 ~ 18:14:45	一個
18:14:45 ~ 18:14:46	提醒了一個裝置
18:14:46 ~ 18:14:46	那我們
18:14:46 ~ 18:14:47	我希望
18:14:47 ~ 18:14:48	之後會是有一個
18:14:48 ~ 18:14:49	或是
18:14:49 ~ 18:14:50	以及郭巨的
18:14:50 ~ 18:14:50	部分來談到
18:14:50 ~ 18:14:51	大家的差異性
18:14:53 ~ 18:14:54	那
18:14:54 ~ 18:14:56	目前在
18:14:59 ~ 18:15:00	有目前對於
18:15:01 ~ 18:15:02	一
18:15:02 ~ 18:15:03	為什麼會這樣做呢
18:15:03 ~ 18:15:04	是因為我們在
18:15:05 ~ 18:15:06	對於植物來講
18:15:06 ~ 18:15:07	我們通常在做
18:15:07 ~ 18:15:08	IOT裝置的話
18:15:08 ~ 18:15:09	我們都會用
18:15:11 ~ 18:15:12	空氣的溫室度
18:15:12 ~ 18:15:13	或是土浪
18:15:13 ~ 18:15:14	或土浪的溫度
18:15:14 ~ 18:15:15	或是陽醫的溫度
18:15:15 ~ 18:15:16	或是
18:15:16 ~ 18:15:17	劫取導減度
18:15:17 ~ 18:15:18	這個部分去做
18:15:19 ~ 18:15:21	它的環境戒指的一個量測
18:15:22 ~ 18:15:23	對於植物本身的量測
18:15:23 ~ 18:15:24	其實相對比較少
18:15:24 ~ 18:15:26	可能都是用以效變質
18:15:26 ~ 18:15:28	或是用多框土的方式去做
18:15:28 ~ 18:15:31	一個影像表型的一個部分的辨識
18:15:32 ~ 18:15:32	對
18:15:32 ~ 18:15:33	那其實
18:15:33 ~ 18:15:34	對於植物來講
18:15:34 ~ 18:15:36	它植物列子的溫度
18:15:36 ~ 18:15:37	它對於植物生理
18:15:37 ~ 18:15:39	是一個非常重要的一個指標
18:15:39 ~ 18:15:40	那這個部分其實
18:15:41 ~ 18:15:41	那
18:15:42 ~ 18:15:43	列子的溫度
18:15:43 ~ 18:15:44	它本身受到一些氣溫
18:15:44 ~ 18:15:45	或是
18:15:45 ~ 18:15:46	一直輔設跟
18:15:46 ~ 18:15:49	植物本身真站的一個作用的影像
18:15:49 ~ 18:15:50	那這個部分
18:15:51 ~ 18:15:53	那也受同時受到
18:15:53 ~ 18:15:54	當下的光照度
18:15:54 ~ 18:15:54	為一個
18:15:55 ~ 18:15:56	輔設強度的
18:15:56 ~ 18:15:58	成為一個正相觀這樣
18:15:58 ~ 18:16:00	那通常的光蓋比較好的
18:16:00 ~ 18:16:00	就是
18:16:01 ~ 18:16:02	比較不缺水的植物
18:16:02 ~ 18:16:04	它的葉子的表面溫度
18:16:04 ~ 18:16:06	通常都會低於
18:16:07 ~ 18:16:08	都會比冠塵的
18:16:08 ~ 18:16:09	那空氣溫度還要再更低一點
18:16:09 ~ 18:16:10	那通常
18:16:10 ~ 18:16:12	在金融營業的應用的
18:16:12 ~ 18:16:14	所以方面都是以
18:16:15 ~ 18:16:15	都是以
18:16:15 ~ 18:16:16	這個
18:16:17 ~ 18:16:18	目前都是以冠塵溫度來做一個
18:16:18 ~ 18:16:19	評估的方式
18:16:19 ~ 18:16:20	那比較
18:16:21 ~ 18:16:22	比較
18:16:22 ~ 18:16:24	最近的一些文獻
18:16:24 ~ 18:16:26	近幾年文獻會稍微開始由
18:16:27 ~ 18:16:29	用那個熱血降源的部分
18:16:29 ~ 18:16:31	來做一個直接的冠塵
18:16:31 ~ 18:16:31	對
18:16:31 ~ 18:16:33	那右邊這張圖的話
18:16:33 ~ 18:16:35	就是以哪一條屁的模型來看
18:16:35 ~ 18:16:36	一直表面的溫度
18:16:36 ~ 18:16:38	它通常都到短
18:16:38 ~ 18:16:39	太陽的短度輔設
18:16:39 ~ 18:16:40	同步輔設的
18:16:41 ~ 18:16:42	一艘以及
18:16:42 ~ 18:16:44	它跟空氣之間的一個溫度
18:16:44 ~ 18:16:46	體格顯得的一個交換
18:16:46 ~ 18:16:47	以及它自己
18:16:47 ~ 18:16:48	本身
18:16:48 ~ 18:16:49	氣孔打開之後
18:16:49 ~ 18:16:51	它的偵測出用的一個顯得的
18:16:52 ~ 18:16:53	影像
18:16:53 ~ 18:16:53	對
18:16:53 ~ 18:16:54	那
18:16:54 ~ 18:16:55	氣孔
18:16:56 ~ 18:16:57	在進一步來看的話
18:16:57 ~ 18:16:58	從氣孔的
18:16:59 ~ 18:17:00	氣孔對於
18:17:00 ~ 18:17:02	整個偵測出用的影響
18:17:02 ~ 18:17:03	是來自於它氣孔的
18:17:04 ~ 18:17:05	氣孔導度以及葉子
18:17:06 ~ 18:17:07	而也
18:17:07 ~ 18:17:08	以及那個空氣中的
18:17:08 ~ 18:17:10	那個VVD的一個影像
18:17:10 ~ 18:17:12	跟這邊都是有相關的
18:17:14 ~ 18:17:15	那在實際
18:17:15 ~ 18:17:15	這方面
18:17:15 ~ 18:17:16	這個技術
18:17:16 ~ 18:17:17	只是在運動方面
18:17:18 ~ 18:17:19	比較常見到的是
18:17:19 ~ 18:17:21	戶外的一個交換的情況
18:17:21 ~ 18:17:22	讓自從
18:17:22 ~ 18:17:23	這個不用偽性面所提到的
18:17:24 ~ 18:17:25	它是用不同
18:17:25 ~ 18:17:26	而這種都形成
18:17:26 ~ 18:17:28	去判斷說不同基因的
18:17:28 ~ 18:17:29	玉米
18:17:29 ~ 18:17:32	對於一個水分力進的一個差異性
18:17:32 ~ 18:17:33	那其實在這邊看的話
18:17:33 ~ 18:17:36	它其實是用兩個鏡頭
18:17:36 ~ 18:17:37	一分用RGP鏡頭
18:17:37 ~ 18:17:38	跟熱型行程
18:17:38 ~ 18:17:40	分別去拍攝這個差異性
18:17:40 ~ 18:17:41	就可以看到說
18:17:41 ~ 18:17:42	其實剛
18:17:42 ~ 18:17:44	植物遇到水分力進的時候
18:17:44 ~ 18:17:45	它的溫度
18:17:46 ~ 18:17:47	因為它正常都用比較
18:17:47 ~ 18:17:49	比較沒有那麼旺盛的
18:17:49 ~ 18:17:50	所以它的溫度就會
18:17:50 ~ 18:17:51	相對比較高一點
18:17:51 ~ 18:17:51	對
18:17:51 ~ 18:17:53	那在這個情況下
18:17:53 ~ 18:17:54	其實在實務上
18:17:54 ~ 18:17:55	也會遇到
18:17:56 ~ 18:17:56	另外一個問題
18:17:56 ~ 18:17:57	是說
18:17:57 ~ 18:17:59	如果它今天的旁邊的
18:18:00 ~ 18:18:01	背景是草皮的話
18:18:01 ~ 18:18:02	草皮本身也會有偵測左右
18:18:02 ~ 18:18:03	那這樣子的話
18:18:03 ~ 18:18:05	當溫度如果差異
18:18:05 ~ 18:18:07	沒有到非常明顯的情況下
18:18:07 ~ 18:18:09	它就會造成個變形
18:18:10 ~ 18:18:12	我們要關著的對象
18:18:12 ~ 18:18:14	它的形容是不明顯的
18:18:17 ~ 18:18:18	那另外一方面
18:18:18 ~ 18:18:19	另外一方面
18:18:19 ~ 18:18:20	其實在
18:18:20 ~ 18:18:22	與熱型行程的部分的話
18:18:23 ~ 18:18:25	目前對於以視錯的
18:18:26 ~ 18:18:27	看到植物生理的機器
18:18:28 ~ 18:18:29	這台機器的話
18:18:30 ~ 18:18:33	它是可以直接量這葉子的一些
18:18:34 ~ 18:18:34	特性的
18:18:34 ~ 18:18:35	不像是說
18:18:35 ~ 18:18:36	情況下
18:18:36 ~ 18:18:37	用基礎導度跟
18:18:38 ~ 18:18:38	一個
18:18:39 ~ 18:18:39	伽度濃度
18:18:39 ~ 18:18:40	正在處理這個部分
18:18:41 ~ 18:18:41	那
18:18:42 ~ 18:18:43	這是從文靜
18:18:43 ~ 18:18:44	從這個2022年
18:18:44 ~ 18:18:45	這篇文項裡面
18:18:45 ~ 18:18:46	它有提到說
18:18:46 ~ 18:18:47	這一番
18:18:47 ~ 18:18:49	這個舊的設計
18:18:49 ~ 18:18:50	這個是期待的設計
18:18:50 ~ 18:18:52	它期待設計它是以
18:18:52 ~ 18:18:53	熱電我了
18:18:53 ~ 18:18:55	方式去做
18:18:55 ~ 18:18:57	葉子的表面溫度的一個量
18:18:57 ~ 18:18:58	感測
18:18:58 ~ 18:18:59	那這個部分其實
18:18:59 ~ 18:19:00	會因為它
18:19:00 ~ 18:19:00	假
18:19:01 ~ 18:19:01	葉子的時候
18:19:01 ~ 18:19:03	可能沒有辦法貼滿整個
18:19:03 ~ 18:19:04	宣佈的
18:19:04 ~ 18:19:05	一個範圍
18:19:05 ~ 18:19:06	所以有可能會造成一些
18:19:06 ~ 18:19:07	無半的一個情況
18:19:07 ~ 18:19:08	那今天我他們
18:19:08 ~ 18:19:10	這個改裝之後呢
18:19:10 ~ 18:19:10	他們可以
18:19:11 ~ 18:19:13	他們可以有效的
18:19:13 ~ 18:19:14	去提到一些
18:19:15 ~ 18:19:15	基礎導度
18:19:15 ~ 18:19:17	以及一些判斷
18:19:17 ~ 18:19:17	從
18:19:18 ~ 18:19:19	一些數字感測的一個結果
18:19:20 ~ 18:19:20	那這個
18:19:20 ~ 18:19:21	這個是
18:19:22 ~ 18:19:23	所以其實在
18:19:23 ~ 18:19:25	對於現在這些設備來講
18:19:25 ~ 18:19:26	他們的
18:19:28 ~ 18:19:29	熱型行程
18:19:29 ~ 18:19:29	其實
18:19:29 ~ 18:19:30	熱型行程的一個方法
18:19:30 ~ 18:19:31	其實是可以
18:19:31 ~ 18:19:32	均勻不得去
18:19:33 ~ 18:19:36	給住讓現有的設備進一步的體生
18:19:38 ~ 18:19:39	那我現在
18:19:39 ~ 18:19:40	這邊的話是我
18:19:40 ~ 18:19:41	對
18:19:41 ~ 18:19:43	今年排發的一個新的設備
18:19:43 ~ 18:19:45	那基本上是用基礎門的
18:19:45 ~ 18:19:45	一個
18:19:46 ~ 18:19:46	一個模組
18:19:46 ~ 18:19:48	像用基礎門的一個
18:19:49 ~ 18:19:49	熱型
18:19:49 ~ 18:19:50	熱感測的
18:19:52 ~ 18:19:53	熱感測的一個模組
18:19:53 ~ 18:19:55	以及結合另外卡GP的鏡頭
18:19:56 ~ 18:19:57	去進行一個
18:19:58 ~ 18:19:58	植物
18:19:59 ~ 18:19:59	三掌控的整裝
18:19:59 ~ 18:20:01	它的一個植物
18:20:01 ~ 18:20:02	葉子溫度的
18:20:02 ~ 18:20:03	有分布的一個
18:20:04 ~ 18:20:05	對兩側的部分
18:20:06 ~ 18:20:07	那目前
18:20:07 ~ 18:20:09	也已經已經完成
18:20:09 ~ 18:20:10	然後是在植物工廠的
18:20:11 ~ 18:20:13	進行個長時間的一個
18:20:14 ~ 18:20:15	這個基礎這樣
18:20:16 ~ 18:20:17	它既然基礎品嘅
18:20:17 ~ 18:20:18	它是每個20分鐘
18:20:18 ~ 18:20:18	一筆照片
18:20:20 ~ 18:20:22	那整體應體加過了
18:20:22 ~ 18:20:22	因為它
18:20:23 ~ 18:20:24	就有5號
18:20:24 ~ 18:20:25	那後來在開發這些
18:20:25 ~ 18:20:26	IOD的設備的時候
18:20:26 ~ 18:20:27	都是採用
18:20:27 ~ 18:20:28	兩顆
18:20:28 ~ 18:20:30	甚至多顆的
18:20:30 ~ 18:20:31	很適合
18:20:32 ~ 18:20:34	SUG做一個血統控制了
18:20:34 ~ 18:20:35	因為這時候
18:20:35 ~ 18:20:36	會讓一些
18:20:36 ~ 18:20:36	比較
18:20:37 ~ 18:20:38	個別NSUG做一些
18:20:38 ~ 18:20:39	個別的
18:20:39 ~ 18:20:40	工作
18:20:40 ~ 18:20:41	那的話
18:20:41 ~ 18:20:42	它在於維護上
18:20:42 ~ 18:20:43	或是一些
18:20:44 ~ 18:20:45	跟外上其實會
18:20:45 ~ 18:20:46	長隊比較有
18:20:46 ~ 18:20:47	一些優勢這個
18:20:47 ~ 18:20:48	會比較有一些優勢
18:20:49 ~ 18:20:50	那我整體的架構來
18:20:50 ~ 18:20:52	卡GP用另外一半個
18:20:52 ~ 18:20:52	防止
18:20:52 ~ 18:20:53	進行一個
18:20:53 ~ 18:20:54	實驗的一個控制
18:20:54 ~ 18:20:55	然後會有
18:20:55 ~ 18:20:57	右下放這個
18:20:58 ~ 18:20:59	一個Vitamin
18:20:59 ~ 18:21:00	它就去
18:21:00 ~ 18:21:01	就形象一個畫面
18:21:02 ~ 18:21:03	然後進行一個
18:21:03 ~ 18:21:03	形象的一個
18:21:03 ~ 18:21:03	圖
18:21:04 ~ 18:21:04	個存檔
18:21:05 ~ 18:21:05	同時
18:21:05 ~ 18:21:06	它也會跟
18:21:07 ~ 18:21:07	一個
18:21:08 ~ 18:21:10	E-Series 3rdCAN這個
18:21:10 ~ 18:21:11	這個裝置
18:21:11 ~ 18:21:12	去進行一個
18:21:12 ~ 18:21:13	指定的下檔
18:21:13 ~ 18:21:13	那
18:21:14 ~ 18:21:14	就是
18:21:14 ~ 18:21:16	當E-Series 3rd這個裝置
18:21:16 ~ 18:21:16	這個NSU
18:21:16 ~ 18:21:17	它說到指定之後
18:21:17 ~ 18:21:19	它就會進行拍照
18:21:19 ~ 18:21:19	然後存檔
18:21:19 ~ 18:21:20	這個部分
18:21:22 ~ 18:21:23	那
18:21:23 ~ 18:21:25	所以現在我會有兩個
18:21:25 ~ 18:21:26	的影像
18:21:26 ~ 18:21:27	我需要去做一個
18:21:27 ~ 18:21:28	碟架機比較
18:21:29 ~ 18:21:29	那
18:21:30 ~ 18:21:31	首先我們這邊會
18:21:31 ~ 18:21:32	我會是一個方式
18:21:32 ~ 18:21:33	去進行
18:21:35 ~ 18:21:37	去進行畫面上個
18:21:37 ~ 18:21:38	點位的一個標準
18:21:38 ~ 18:21:40	那之後我們再用點位
18:21:40 ~ 18:21:41	進行一個媒合
18:21:41 ~ 18:21:42	讓兩個畫面才可以
18:21:42 ~ 18:21:43	對齊
18:21:43 ~ 18:21:44	碟在一起
18:21:44 ~ 18:21:45	對
18:21:46 ~ 18:21:48	那我所使用這個
18:21:48 ~ 18:21:49	這四個的
18:21:50 ~ 18:21:51	這四個LED的是
18:21:51 ~ 18:21:52	紅外線的部分
18:21:53 ~ 18:21:54	是紅外線LED的
18:21:54 ~ 18:21:55	那希望說
18:21:55 ~ 18:21:55	它在
18:21:56 ~ 18:21:58	它在告工率的
