20:04:00 ~ 20:04:05	大家請問大家有看到我的簡報的話面嗎
20:08:41 ~ 20:08:44	今年會有持續在於年的部分
20:08:44 ~ 20:08:45	於年的場域去進行
20:08:45 ~ 20:08:50	連續的可水跟離子的一個兩側
20:08:51 ~ 20:08:54	那在去年的這個部分的話
20:08:54 ~ 20:08:56	是裡面有重構了一個
20:08:56 ~ 20:08:57	因體的架構
20:08:57 ~ 20:08:59	然後有把一些比較
20:08:59 ~ 20:09:02	就是有加入了一個
20:09:02 ~ 20:09:04	適受的那個
20:09:04 ~ 20:09:05	大家比較常用的一個
20:09:05 ~ 20:09:07	ATC的一個晶片
20:09:07 ~ 20:09:09	那這樣子其實是可以有效的
20:09:09 ~ 20:09:12	因為我們是用阿丁老師去做整合的
20:09:12 ~ 20:09:13	那在這個部分
20:09:13 ~ 20:09:16	就是把因為有加入新的硬體
20:09:16 ~ 20:09:18	然後他在對於訊號
20:09:18 ~ 20:09:21	找訊的部分其實是有明顯的改善
20:09:21 ~ 20:09:22	那也是
20:09:22 ~ 20:09:24	那從訊號的
20:09:24 ~ 20:09:25	訊號讀取的改善
20:09:25 ~ 20:09:27	就可以進一步的去讓整個物差的分析
20:09:27 ~ 20:09:31	跟長域干擾這塊都可以持久
20:09:31 ~ 20:09:34	就有比較好的改善這樣子
20:09:34 ~ 20:09:37	那在去年的年底的
20:09:37 ~ 20:09:39	那個長域的兩側的時候
20:09:39 ~ 20:09:42	其實是有兩側到處
20:09:42 ~ 20:09:44	就是水跟栽培的時候
20:09:44 ~ 20:09:45	養一的他在
20:09:45 ~ 20:09:48	他的效力值變化了一個情況
20:09:48 ~ 20:09:51	對 那就是有看到說
20:09:51 ~ 20:09:52	這個不好意思
20:09:52 ~ 20:09:55	這個是在中老師的那個長域
20:09:55 ~ 20:09:57	那邊做進行兩側的
20:09:57 ~ 20:09:59	對 那這邊就是
20:09:59 ~ 20:10:01	這邊就是有看到處
20:10:01 ~ 20:10:03	就是當開始一直之後
20:10:03 ~ 20:10:05	然後就給他
20:10:05 ~ 20:10:08	效力值的處建的下降
20:10:08 ~ 20:10:11	然後後面就是在總理添加過
20:10:11 ~ 20:10:15	養益以及加水去調整水位的部分
20:10:15 ~ 20:10:19	其實都有反映到我們這間車的處理上面
20:10:19 ~ 20:10:21	那接下來報告說
20:10:21 ~ 20:10:23	就是我現在在做的一個題目
20:10:23 ~ 20:10:24	跟現在在做的一些使用的
20:10:24 ~ 20:10:26	一些初步的結果
20:10:26 ~ 20:10:28	對 那我的目前的研究組成員
20:10:28 ~ 20:10:29	是以下用第一個設備
20:10:29 ~ 20:10:30	拿去做一些
20:10:30 ~ 20:10:33	然後去偵測光骨對於機梗的導渡
20:10:33 ~ 20:10:35	機取分使用度的
20:10:35 ~ 20:10:37	跟去探導做植物
20:10:37 ~ 20:10:39	對環境的一個交互的作用
20:10:39 ~ 20:10:40	這部分
20:10:40 ~ 20:10:41	那希望是針對
20:10:41 ~ 20:10:42	補貼來
20:10:42 ~ 20:10:44	CM做以及我會具C3做物
20:10:44 ~ 20:10:46	來進行的探討
20:10:46 ~ 20:10:49	他的那個變化一個情況
20:10:49 ~ 20:10:51	那我選擇的方式是說
20:10:51 ~ 20:10:54	因為其實在與環控這一塊
20:10:54 ~ 20:10:56	大家比較常見到的一些
20:10:56 ~ 20:10:58	兩側的環境意思
20:10:58 ~ 20:11:01	都是像是溫度石度
20:11:01 ~ 20:11:02	光照度
20:11:02 ~ 20:11:03	這個部分
20:11:03 ~ 20:11:04	或者是土壤
20:11:04 ~ 20:11:06	導電度土壤的水分
20:11:06 ~ 20:11:09	甚至是那個氧義的一些
20:11:09 ~ 20:11:10	氧義的離子
20:11:10 ~ 20:11:11	或者是水溫這個部分
20:11:11 ~ 20:11:13	那這個部分其實對植物本身
20:11:13 ~ 20:11:15	他都是比較偏向的說
20:11:15 ~ 20:11:18	是環境的戒指的一個兩側
20:11:18 ~ 20:11:21	那如果是對植物本身的話
20:11:21 ~ 20:11:23	目前比較長
20:11:23 ~ 20:11:24	比較長
20:11:24 ~ 20:11:25	應用的方式
20:11:25 ~ 20:11:27	都是用影像圖的方式
20:11:27 ~ 20:11:28	去做一個拍照
20:11:28 ~ 20:11:30	或者是多光骨的一個
20:11:30 ~ 20:11:32	拍照去判斷說
20:11:32 ~ 20:11:34	植物本身的一個
20:11:34 ~ 20:11:37	是長一個變化的一個特性這樣
20:11:37 ~ 20:11:39	其實在最近這兩年
20:11:39 ~ 20:11:41	都疫情的部分是
20:11:41 ~ 20:11:42	對
20:11:42 ~ 20:11:43	那個
20:11:43 ~ 20:11:45	被接觸的分度的感測
20:11:45 ~ 20:11:47	其實是滿大的一個進步的
20:11:47 ~ 20:11:49	對 那這個東西也是高有
20:11:49 ~ 20:11:52	一些低成本的模組可以達到這樣
20:11:52 ~ 20:11:53	那就是想說
20:11:53 ~ 20:11:54	這樣低成本的模組
20:11:54 ~ 20:11:57	就可以去兩側植物業值的
20:11:57 ~ 20:11:59	而業片它本身的溫度
20:11:59 ~ 20:12:01	那業片本身溫度就像我們
20:12:01 ~ 20:12:03	就是這樣發售這個傢伙是一樣的
20:12:03 ~ 20:12:04	是大家可以反映說
20:12:04 ~ 20:12:06	植物它現在系統
20:12:06 ~ 20:12:07	它增上了一個情況
20:12:07 ~ 20:12:09	根據上面這張圖
20:12:09 ~ 20:12:11	就是可以看到說
20:12:11 ~ 20:12:12	就是對於業值的
20:12:12 ~ 20:12:13	業片本身的溫度
20:12:13 ~ 20:12:15	它其實收到一些
20:12:15 ~ 20:12:17	它是收到一些
20:12:17 ~ 20:12:19	就是能量進出的一個
20:12:19 ~ 20:12:20	綜合的一個結果
20:12:20 ~ 20:12:23	包括了一些太陽的一些
20:12:23 ~ 20:12:25	短波輔助
20:12:25 ~ 20:12:27	那個SW以及
20:12:27 ~ 20:12:29	環境的長波輔助
20:12:29 ~ 20:12:31	有W這個對於業值表面的
20:12:31 ~ 20:12:33	能量進入
20:12:33 ~ 20:12:36	然後業生也會發生
20:12:36 ~ 20:12:39	也會發生一些長波輔助出去
20:12:39 ~ 20:12:41	以及業片它對於環境
20:12:41 ~ 20:12:44	這個部分有一個熱潛熱交換
20:12:44 ~ 20:12:45	這個能分
20:12:45 ~ 20:12:47	它最後面的業片本身
20:12:47 ~ 20:12:49	它自己投播器孔的
20:12:49 ~ 20:12:50	偵暫的作用
20:12:50 ~ 20:12:55	它也會有一些顯熱量一定
20:12:55 ~ 20:12:57	讓熱量轉移的這個部分
20:12:57 ~ 20:12:59	然後就可以讓業值的
20:12:59 ~ 20:13:00	一些溫度稍微降下來
20:13:00 ~ 20:13:01	那業值的問題
20:13:01 ~ 20:13:03	降下來其實都會進一步的
20:13:03 ~ 20:13:07	去業值的溫度降下來就可以
20:13:07 ~ 20:13:10	就可以透過這個部分去瞭解說
20:13:10 ~ 20:13:13	業值它對系統的一個運作
20:13:13 ~ 20:13:15	它目前系統的一個運作的情況
20:13:15 ~ 20:13:18	以及它的那個
20:13:20 ~ 20:13:23	MPD就是增氣壓差以及
20:13:23 ~ 20:13:24	還有業值它現在顯光很重要的作用
20:13:24 ~ 20:13:26	一個能力這樣
20:13:28 ~ 20:13:30	那在實際上一樣來講
20:13:30 ~ 20:13:33	那這個其實技術其實是有在應用
20:13:33 ~ 20:13:34	其他的本身
20:13:34 ~ 20:13:36	或是消費線直接來看
20:13:36 ~ 20:13:38	其實是有在做相關的應用
20:13:38 ~ 20:13:39	那比較常應
20:13:39 ~ 20:13:41	比較常應用的常應
20:13:41 ~ 20:13:44	都是用結合空拍或是為
20:13:44 ~ 20:13:46	結合空拍機去做一個
20:13:46 ~ 20:13:48	以外的一個兩側
20:13:48 ~ 20:13:51	因為這個其實是比較不好觀測的
20:13:51 ~ 20:13:53	那他們就會像這篇文件
20:13:53 ~ 20:13:55	它就是利用垃圾羊技術去看出
20:13:55 ~ 20:13:57	不同因此的一個譽米
20:13:57 ~ 20:13:59	它對於水分秘技就是
20:13:59 ~ 20:14:00	交水之後
20:14:00 ~ 20:14:03	它對於下次交水之間的差異
20:14:03 ~ 20:14:05	然後對於輸了兩套
20:14:05 ~ 20:14:06	可能是個水分的一個秘性
20:14:06 ~ 20:14:08	那不同的因子它
20:14:08 ~ 20:14:10	就會直接反映在說
20:14:10 ~ 20:14:13	它業值的一個真相的一個情況
20:14:13 ~ 20:14:14	那對於這個方式
20:14:14 ~ 20:14:17	可以瞭解說哪一種的
20:14:17 ~ 20:14:20	哪一種的植物因子
20:14:20 ~ 20:14:23	它是比較相對比較看好的這樣
20:14:23 ~ 20:14:24	那其實也是直接這樣拍
20:14:24 ~ 20:14:26	那其實它這樣拍的話
20:14:26 ~ 20:14:28	就會我們可以看到左手邊的話
20:14:28 ~ 20:14:30	它下面是一轉
20:14:30 ~ 20:14:32	那持轉本身塔是地轉
20:14:32 ~ 20:14:34	那地轉本身是相對提了
20:14:34 ~ 20:14:37	然後如果地表是乾的話
20:14:37 ~ 20:14:38	那它就OK
20:14:38 ~ 20:14:40	那如果是大雨後
20:14:40 ~ 20:14:43	可能那可能就會有些溫度的
20:14:43 ~ 20:14:44	下降那可能對於
20:14:44 ~ 20:14:48	可能觀測來講就是可能會有一些
20:14:48 ~ 20:14:50	會有一些影響這樣
20:14:50 ~ 20:14:52	那像就是在右邊這邊的話
20:14:52 ~ 20:14:54	如果它下面是草
20:14:54 ~ 20:14:55	它既然是下面是乾的草地
20:14:55 ~ 20:14:57	如果是像後面
20:14:57 ~ 20:14:59	比較是吃的草皮的話
20:14:59 ~ 20:15:00	因為比較如果吃
20:15:00 ~ 20:15:03	創限地去看多紙皮的話
20:15:03 ~ 20:15:06	它供應可能為了其他的植物
20:15:06 ~ 20:15:09	它其實就會影響到整個觀測結果
20:15:09 ~ 20:15:11	這件部分
20:15:11 ~ 20:15:14	那除了說限地觀測之外
20:15:14 ~ 20:15:15	那在於
20:15:15 ~ 20:15:16	以氣的改進的話
20:15:16 ~ 20:15:19	其實在最近的2022年的
20:15:19 ~ 20:15:20	這篇文件裡面
20:15:20 ~ 20:15:22	也有雅團隊之類
20:15:22 ~ 20:15:26	用任影響去進一步的去改善說
20:15:26 ~ 20:15:28	這台就是專門來量測系統
20:15:28 ~ 20:15:30	而量測植物
20:15:30 ~ 20:15:33	經過合作用的一個設備這樣
20:15:33 ~ 20:15:37	那它們藉由去在下方去加裝
20:15:37 ~ 20:15:39	這個熱血箱的鏡頭
20:15:39 ~ 20:15:41	去看時候上面這個量測區的
20:15:41 ~ 20:15:43	一個葉子的一個溫度的
20:15:43 ~ 20:15:46	一個分布的結果
20:15:46 ~ 20:15:49	它又可以有效的去改善說
20:15:49 ~ 20:15:50	它量測的一個數字
20:15:50 ~ 20:15:51	像是氣氧導度
20:15:51 ~ 20:15:54	以及那個氣氧那二氧化彈融度這個部分
20:15:54 ~ 20:15:55	它就可以藉由熱方
20:15:55 ~ 20:15:57	去進一步的改善
20:15:57 ~ 20:15:59	是因為說它原本的量測方式
20:15:59 ~ 20:16:00	只是一個熱電
20:16:00 ~ 20:16:01	去做一個熱
20:16:01 ~ 20:16:04	去做一個吐碰到葉子表面
20:16:04 ~ 20:16:08	就是兩單點的這個情形
20:16:08 ~ 20:16:10	那這是我目前就是今年
20:16:10 ~ 20:16:14	去今年已經完成了一版
20:16:14 ~ 20:16:15	初步的一個裝置
20:16:15 ~ 20:16:17	現在正在排大主動場景
20:16:17 ~ 20:16:19	已經連續了量測
20:16:19 ~ 20:16:21	那這個量測的項目
20:16:21 ~ 20:16:22	包括了葉子的我們
20:16:22 ~ 20:16:25	關測部分包括葉子本身的溫度
20:16:25 ~ 20:16:27	同時還介入這個環境的大氣壓力
20:16:27 ~ 20:16:29	氣氧導度以及濕度
20:16:29 ~ 20:16:30	以及氧化彈融度
20:16:30 ~ 20:16:33	那我量測頻率大概是20分鐘以張照片
20:16:33 ~ 20:16:36	那同時會拍攝RDU的照片
20:16:36 ~ 20:16:38	跟溫度的照片
20:16:38 ~ 20:16:41	對 那目前就是持續在主動場可以做當中
20:16:43 ~ 20:16:45	那這是目前硬體的架構
20:16:45 ~ 20:16:48	對 那就是因為其實我現在是用
20:16:48 ~ 20:16:49	兩顆的
20:16:49 ~ 20:16:51	跟兩顆的NCO去做整合的
20:16:51 ~ 20:16:53	那一個
20:16:53 ~ 20:16:55	Watermill這個你使用它除了
20:16:55 ~ 20:16:58	就是做畫面的顯示之外
20:16:58 ~ 20:17:00	它還有去做一些
20:17:00 ~ 20:17:03	太不得做直調的會整
20:17:03 ~ 20:17:05	以及那個RGB影像的一個
20:17:06 ~ 20:17:10	獨到了溫度的拿去做一個轉換這個部分
20:17:10 ~ 20:17:11	那另外一個部分
20:17:11 ~ 20:17:15	這個是一個是比像RKAN這個本
20:17:15 ~ 20:17:19	最近最近還蠻流行的一個非常便宜的一顆
20:17:19 ~ 20:17:21	帶鏡頭的NCU
20:17:21 ~ 20:17:24	這樣子我整個設備這樣做起來大概在
20:17:24 ~ 20:17:27	硬體部分大概在現在的比大概一萬
20:17:27 ~ 20:17:28	一萬左右而已
20:17:28 ~ 20:17:30	那其實如果我們直接去吃麵
20:17:30 ~ 20:17:32	上滿一個最便宜的熱型相應
20:17:32 ~ 20:17:34	查在手機上面的話
20:17:34 ~ 20:17:36	目前我看到大概都怪他一萬
20:17:36 ~ 20:17:38	五萬四左右價錢
20:17:38 ~ 20:17:39	對 那其實就是
20:17:39 ~ 20:17:43	會有一個更低的一個成本在這裡
20:17:43 ~ 20:17:44	那在因為我現在是用
20:17:44 ~ 20:17:47	兩顆的兩個不同的鏡頭
20:17:47 ~ 20:17:48	去拍不同的畫面
20:17:48 ~ 20:17:50	所以我一定要會遇到一個問題
20:17:50 ~ 20:17:51	就是畫面整合的部分
20:17:51 ~ 20:17:53	那這邊我就是利用
20:17:53 ~ 20:17:56	高 高瓦數的一個
20:17:56 ~ 20:17:58	偶外線的一個Hlead燈
20:17:58 ~ 20:18:00	拿去做一個讓它通過電流之後
20:18:00 ~ 20:18:02	它會沉著一個樂園
20:18:02 ~ 20:18:05	我就可以經過透過樂園以及
20:18:05 ~ 20:18:07	去並以像上面的一個燈的
20:18:07 ~ 20:18:09	一個位置去做一個定位
20:18:09 ~ 20:18:10	最後我們再用OPACB的
20:18:10 ~ 20:18:14	彭斯去讓它重新的調整過
20:18:14 ~ 20:18:16	就是把紋度講
20:18:16 ~ 20:18:18	這套紋度調整到對應的
20:18:18 ~ 20:18:20	去並以為是上面
20:18:20 ~ 20:18:22	那上面這邊是定位錢的
20:18:22 ~ 20:18:24	其實就是因為不同鏡頭
20:18:24 ~ 20:18:25	它的視角會不一樣
20:18:25 ~ 20:18:28	排出來若印直接使用的話會有點
20:18:28 ~ 20:18:29	會有點誤判
20:18:29 ~ 20:18:30	那如果調好之後
20:18:30 ~ 20:18:32	其實它的位置是
20:18:32 ~ 20:18:33	它可以
20:18:33 ~ 20:18:34	我就可以讓
20:18:34 ~ 20:18:36	我就可以比較明確的知道說
20:18:36 ~ 20:18:37	在我要的位置上面
20:18:37 ~ 20:18:41	它的紋度當然是多少
20:18:41 ~ 20:18:42	那另外一部分就是
20:18:42 ~ 20:18:43	在影像圖地這塊
20:18:43 ~ 20:18:44	那影像圖地的話
20:18:44 ~ 20:18:45	就是在
20:18:45 ~ 20:18:46	由低燈在視內拍的時候
20:18:46 ~ 20:18:49	其實我們也很常會看到
20:18:49 ~ 20:18:51	畫面會有這種橫測的調紋在這裡
20:18:51 ~ 20:18:53	然後它就會影響到
20:18:53 ~ 20:18:56	整個後續我要去做業者
20:18:56 ~ 20:18:58	的輪廓的一個處理之餓
20:18:58 ~ 20:18:59	後面的一個高級影響到
20:18:59 ~ 20:19:01	後面的處理
20:19:01 ~ 20:19:03	所以就是有去利用跌度的
20:19:03 ~ 20:19:05	從曝光那個方式去跌土
20:19:05 ~ 20:19:07	那去將這個間的
20:19:07 ~ 20:19:09	破碗去把他做的一個消除
20:19:09 ~ 20:19:10	他在消除錢跟消除後
20:19:10 ~ 20:19:12	其實他在
20:19:12 ~ 20:19:14	明度這個就是
20:19:14 ~ 20:19:15	對他在明度這個部分
20:19:15 ~ 20:19:18	其實是比較沒有什麼開大的
20:19:18 ~ 20:19:20	變化的表現說
20:19:20 ~ 20:19:22	我們會有保留他原本的一些特徵
20:19:22 ~ 20:19:23	那就是一些我不要的東西
20:19:23 ~ 20:19:26	就把他交出掉
20:19:26 ~ 20:19:27	那這個後面就是
20:19:27 ~ 20:19:29	後面的做法就是說
20:19:29 ~ 20:19:32	我就是利用RGB的影像去把
20:19:32 ~ 20:19:36	用A&PLANCV去把我要的業者
20:19:36 ~ 20:19:38	的業片的一個輪廓把他框出來
20:19:38 ~ 20:19:40	然後利用這個做成一個遮造
20:19:40 ~ 20:19:42	在有剛剛的溫度的
20:19:42 ~ 20:19:44	溫度的塗成
20:19:44 ~ 20:19:46	然後就去把溫度塗了
20:19:46 ~ 20:19:48	他們結束我要遮到下來之後
20:19:48 ~ 20:19:49	我就可以知道說
20:19:49 ~ 20:19:50	我在業者當委內
20:19:50 ~ 20:19:53	大概的溫度大概是多少
20:19:53 ~ 20:19:54	希望說藉由這個方式
20:19:54 ~ 20:19:55	可以知道說我現在
20:19:55 ~ 20:19:57	直播廣場扶板上面
20:19:57 ~ 20:19:59	在長的這些工具
20:19:59 ~ 20:20:01	或是其他的
20:20:01 ~ 20:20:02	其他的指出者
20:20:02 ~ 20:20:04	他們現在長的時候
20:20:04 ~ 20:20:06	他的溫度大概是多少
20:20:06 ~ 20:20:08	他是不是有一些遇到一些
20:20:08 ~ 20:20:09	水分一件的情況
20:20:11 ~ 20:20:13	那在其他的項目的話
20:20:13 ~ 20:20:14	就是當是
20:20:14 ~ 20:20:17	我其他同時還有幾乎
20:20:17 ~ 20:20:18	氣溫濕度
20:20:18 ~ 20:20:20	還有氣壓的濕度濃度
20:20:20 ~ 20:20:21	在右邊的頭
20:20:21 ~ 20:20:23	因為我們現在還有工廠
20:20:23 ~ 20:20:25	就是我原本做實驗的那一間
20:20:25 ~ 20:20:26	其實是有各些學弟們
20:20:26 ~ 20:20:27	去做共用的
20:20:27 ~ 20:20:31	其實有從濕度濃度變化
20:20:31 ~ 20:20:33	其實有時候就給他討論說
20:20:33 ~ 20:20:35	就是他是不是有進行一些
20:20:35 ~ 20:20:38	他有信他的實驗怎樣
20:20:38 ~ 20:20:39	那其實從
20:20:39 ~ 20:20:42	那工廠的那個溫度範圍
20:20:42 ~ 20:20:44	大概是在
20:20:44 ~ 20:20:45	應該說這個溫度不是
20:20:45 ~ 20:20:47	不是那一間
20:20:47 ~ 20:20:48	栽培式的溫度
20:20:48 ~ 20:20:51	而是說我扶板的那個溫度
20:20:51 ~ 20:20:53	因為在扶板那邊
20:20:53 ~ 20:20:54	會受到燈光的
20:20:54 ~ 20:20:56	一些坦稱的樂園跟影響
20:20:56 ~ 20:20:57	所以那邊要溫度兩次
20:20:57 ~ 20:20:58	大概要二次
20:20:58 ~ 20:21:00	大概就是有三度的一個
20:21:00 ~ 20:21:01	溫度的變化
20:21:01 ~ 20:21:02	那二氧化的濃度
20:21:02 ~ 20:21:04	就是會學了早到
20:21:04 ~ 20:21:05	就是學弟也有
20:21:05 ~ 20:21:07	那時候5月12號的時候
20:21:07 ~ 20:21:09	學弟有進來做一個數字做演
20:21:09 ~ 20:21:10	所以可能冷戰裡面
20:21:10 ~ 20:21:12	會帶了比較久一點
20:21:12 ~ 20:21:13	所以就看到有一些
20:21:13 ~ 20:21:14	自由度的
20:21:14 ~ 20:21:17	自由度濃度的提高這樣
20:21:17 ~ 20:21:18	那另外一個就是
20:21:18 ~ 20:21:20	6月10號的時候其實就是
20:21:20 ~ 20:21:22	因為我們自由度是用鋼瓶的
20:21:22 ~ 20:21:23	那當工瓶一碗
20:21:23 ~ 20:21:25	還沒有去補充的時候去測試
20:21:25 ~ 20:21:27	看到說那是有度的
20:21:27 ~ 20:21:28	是那是有度的濃度
20:21:28 ~ 20:21:29	也是先了一下
20:21:29 ~ 20:21:30	這樣這個情況
20:21:33 ~ 20:21:36	原本我是有再去辨識一個
20:21:36 ~ 20:21:38	我是辨識那個相破率
20:21:39 ~ 20:21:40	那正常我們在本來是
20:21:40 ~ 20:21:42	6到6周左右
20:21:42 ~ 20:21:44	那從4月12號開始
20:21:44 ~ 20:21:48	4大概4月15號開始進行觀察
20:21:48 ~ 20:21:50	觀察的時候是用已經是三周的秒了
20:21:50 ~ 20:21:52	所以正常的講應該是
20:21:52 ~ 20:21:53	大概在三周
20:21:53 ~ 20:21:55	其實就應該要收成
20:21:55 ~ 20:21:56	那可能因為做實驗
20:21:56 ~ 20:21:58	又沒有去管收成這個部分
20:21:58 ~ 20:22:01	就讓他一直長到6月10號
20:22:01 ~ 20:22:02	他辨成說整個
20:22:02 ~ 20:22:04	整個相破率
20:22:04 ~ 20:22:06	現在先重是到了
20:22:06 ~ 20:22:07	將近500克
20:22:07 ~ 20:22:10	對 就是整個抽出這個畫面
20:22:10 ~ 20:22:12	但是我就想說利用
20:22:12 ~ 20:22:13	這個設計果那已經看出
20:22:13 ~ 20:22:14	因為原本的預計
20:22:14 ~ 20:22:16	是希望說我做的還機器
20:22:16 ~ 20:22:18	他是可以走廁室的
